252;Joseph Gordon-Levitt
253;Thora Birch
254;John DiMaggio
255;Paul Reiser
256;Joe Pesci
257;Marlene Dietrich
258;Jürgen Prochnow
259;Joseph Cotten
260;James Mason
261;Ryan Gosling
262;Michael Madsen
263;Harrison Ford
264;Jennifer Connelly
265;Gino Ardito
266;Jack Hawkins
267;Jim Carrey
268;Fred MacMurray
269;John Megna
270;Tim Allen
271;Keir Dullea
272;Robert Redford
273;Gene Kelly
274;Lamberto Maggiorani
275;Tim Allen
276;Edna Purviance
277;Eli Roth
278;Patrick Magee
279;Madhavan
280;John Cleese
281;Lee Van Cleef
282;Kevin Spacey
283;Ray Walston
284;Robin Williams
285;Yoshiko Kashiwa
286;Sareh Bayat
287;Harrison Ford
288;Celeste Holm
289;Liam Neeson
290;Joe Pesci
291;Paul Gleason
292;Marilyn Monroe
293;Tim Holt
294;Orson Welles
295;Mohammad Amir Naji
296;Robert De Niro
297;Richard Attenborough
298;Levi Miller
299;Phyllis Smith
300;Noriko Hidaka
301;Nikolay Grinko
302;Mack Swain
303;Shin'ichi Himori
304;Ricardo Darín
305;Sessue Hayakawa
306;Sean Bridgers
307;Marlon Brando
308;James Stewart
309;Max von Sydow
310;Rutger Hauer
311;Jason Statham
312;Richard Widmark
313;Ingrid Thulin
314;Stephen Fry
315;Jennifer Connelly
316;John Gielgud
317;Milo Gibson
318;Margot Robbie
319;Jim Farley
320;Ugur Yücel
321;Christopher Carley
322;Jimmy Shergill
323;Ray Milland
324;John Savage
325;Julianne Moore
326;Sharman Joshi
327;Thomas Mitchell
328;Maria Falconetti
329;Haruko Sugimura
330;Olivia Williams
331;Ellen DeGeneres
332;T.K. Carter
333;Tommy Lee Jones
334;Lou Antonio
335;Gerard Butler
336;Uma Thurman
337;Martin Stringer
338;Philip Seymour Hoffman
339;Marcia Gay Harden
340;Olga Mironova
341;Rosamund Pike
342;John Cleese
343;Roscoe Karns
344;Hakeem Kae-Kazim
345;Sanjay Dutt
346;Mark Ruffalo
347;Peter van Eyck
348;River Phoenix
349;Emma Thompson
350;Daniel Brühl
351;Guy Decomble
352;Hema Malini
353;Nicholas Hoult
354;Dickie Gravois
355;Mathieu Amalric
356;Sunil Shetty
357;Robert Redford
358;Liv Ullmann
359;François Périer
360;Mary Astor
361;Gael García Bernal
362;Richard Attenborough
363;J.J. Abrams
364;Jay Baruchel
365;Raveena Tandon
366;Hanno Pöschl
367;Natascha McElhone
368;Mahito Tsujimura
369;Christopher Guest
370;Jane Darwell
371;Sylvester Stallone
372;Joseph Calleia
373;Michael Gambon
374;Tony Roberts
375;Simone Signoret
376;Jake Gyllenhaal
377;Catherine Keener
378;Matt Damon
379;Mary Gibbs
380;Martin Sheen
381;Michael Biehn
382;Judy Garland
383;Marcello Mastroianni
384;Joseph Melito
385;Chris Elliott
386;Patrick Magee
387;Saïd Taghmaoui
388;Robert Shaw
389;Myrna Loy
390;Eric Tsang
391;Jason Bateman
392;Richa Chadha
393;Penelope Allen
394;Samia Kerbash
395;Johnny Sekka
396;Octavia Spencer
397;Keira Knightley
398;Rex Everhart
399;Victor Buono
400;Robert Walker
401;Al Pacino
402;Arnold Schwarznegger
403;Richard S. Castellano
404;Aaron Eckhart
405;Michael Caine
406;Hale Berry
407;Angelina Jolie
408;Sandra Bullock
409;Julia Roberts
410;Jennifer Lopez
411;Charles Vanel
412;V�ra Clouzot
